frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
14.0,14.0,14.0,14.0,14.0,11.0,8.0,6.0,5.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 14]","[1, 2, 3, 7, 8, 10, 11, 14]","[2, 7, 8, 10, 11, 14]","[2, 7, 8, 10, 14]","[2, 7, 8, 10, 14]","[2, 7, 8, 14]","[2, 7, 8, 14]","[8, 14]","[8, 14]","[8, 14]","[8, 14]","[8, 14]","[8, 14]",[8],[8],[8]
