cell id,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
1,3,6,7,8,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,6,8,9,13,12,9,10,9,11,15,14,0,0,0,0,0,0,0,0,0
3,4,7,13,12,15,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,9,14,9,7,1,0,0,0,4,11,10,15,0,0,0,0,0,0,0,0,0
8,5,11,9,15,9,6,2,2,9,13,9,6,4,2,7,9,6,3,9,8,3
9,9,9,12,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6,8,8,9,9,8,9,6,6,7,0,0,0,0,0,0,0,0,0,0,0
11,10,4,2,0,12,19,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0
12,9,11,6,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,8,8,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,11,13,11,9,8,14,28,19,16,10,8,4,4,2,4,9,7,0,0,0
