cell,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
1,4394.0,3088.0,3093.0,3649.0,1374.0,1744.0,1189.0,1257.0,909.0,935.0,812.0,966.0,855.0,977.0,1035.0,935.0,1812.0,3572.0,3235.0,1921.0,1971.0
1,5453.0,3812.0,4149.0,3731.0,4610.0,3699.0,6609.0,7310.0,5029.0,3432.0,3300.0,3873.0,11388.0,5397.0,3519.0,3371.0,11805.0,20624.0,15554.0,21294.0,9685.0
2,5322.0,10238.0,13270.0,30991.0,19991.0,15996.0,9112.0,22512.0,12110.0,10690.0,7133.0,7228.0,6534.0,4127.0,4521.0,17807.0,12121.0,7419.0,5095.0,4917.999999999999,5289.0
3,30370.0,36845.0,28714.0,16751.0,9589.0,6096.0,5710.0,6580.000000000001,5569.0,5710.0,6361.0,6021.0,6566.999999999999,5824.0,5789.0,5833.0,6429.0,6352.0,6407.0,5893.0,6410.0
4,5334.0,3345.0000000000005,8213.0,6689.0,4717.0,20223.0,10303.0,6102.0,3057.0,3034.0,2802.0,2906.0,2977.0,3016.0,2933.0,2956.0,3232.0,2758.0,2898.0,2824.0,3143.0
3,138.0,130.0,480.0,162.0,223.0,147.0,216.0,128.0,122.0,116.0,104.0,105.0,119.0,130.0,107.0,118.0,135.0,103.0,128.0,126.0,114.0
4,4382.0,5153.0,27326.0,11864.0,4967.0,24851.0,17789.0,11195.999999999998,3893.0,4027.0,3914.0,4530.0,4283.0,4236.0,4359.0,3807.0,4069.0,4082.0,3782.0,4421.0,4197.0
4,134.0,136.0,125.0,113.0,120.0,112.0,269.0,494.0,133.0,120.0,128.0,116.0,102.0,135.0,122.0,110.0,126.0,125.0,119.0,120.0,135.0
6,3119.0,3586.0000000000005,3364.0,3594.0,3328.0,22634.0,12018.0,7905.0,6087.0,4769.0,3654.0,3469.0,17015.0,6681.0,4242.0,15435.0,8952.0,6345.0,6963.0,4996.0,3526.0
8,8183.0,18629.0,32569.0,21489.0,10742.0,8828.0,5855.0,6387.0,5838.0,6167.0,5777.0,5485.0,7060.000000000001,6076.0,5626.0,5674.0,5856.0,5939.0,6117.0,6362.999999999999,5862.0
9,2268.0,2004.0,1978.0,2064.0,2016.0,1917.0,10496.0,5127.0,2234.0,4555.0,5296.0,2644.0,2925.0,1963.0,2063.0,2033.0,2043.0,1897.0,2210.0,2117.0,2037.0
10,3191.0,2246.0,15882.0,8986.0,7225.0,4172.0,4154.0,2302.0,2104.0,2224.0,2440.0,2672.0,2483.0,2343.0,2347.0,2175.0,2393.0,2305.0,2529.0,2107.0,2462.0
