cell_id,cell_size,nucleus_size,trans_num,life_span
1,7915,3096,1,21.0
2,7725,3156,1,12.0
3,7131,3139,4,7.0
4,7647,3059,1,21.0
5,7622,3306,2,21.0
6,8755,3541,1,17.0
7,7076,3314,2,18.0
8,8609,3525,1,11.0
9,7599,3062,0,6.0
10,6965,3392,2,9.0
11,7243,2958,2,9.0
12,8856,3112,1,6.0
