frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
12.0,12.0,12.0,12.0,12.0,12.0,11.0,9.0,9.0,7.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12]","[1, 2, 4, 5, 6, 7, 8, 10, 11]","[1, 2, 4, 5, 6, 7, 8, 10, 11]","[1, 2, 4, 5, 6, 7, 8]","[1, 2, 4, 5, 6, 7, 8]","[1, 2, 4, 5, 6, 7]","[1, 4, 5, 6, 7]","[1, 4, 5, 6, 7]","[1, 4, 5, 6, 7]","[1, 4, 5, 6, 7]","[1, 4, 5, 6, 7]","[1, 4, 5, 7]","[1, 4, 5]","[1, 4, 5]","[1, 4, 5]"
