cell_id,cell_size,nucleus_size,trans_num,life_span
1,7486,3018,2,21.0
2,7806,3275,1,21.0
3,7288,2989,0,21.0
4,7112,5897,1,21.0
5,7937,3205,2,21.0
6,7553,3273,1,21.0
7,7614,3193,2,21.0
8,8102,3334,1,21.0
9,7490,3097,1,21.0
10,8011,3147,2,8.0
11,7402,3014,1,21.0
12,7874,2995,1,21.0
13,8212,3164,2,21.0
14,7302,2948,1,21.0
