cell id,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
1,9,10,13,17,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,2,1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1
3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,7,10,5,6,3,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,4,0,3,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
6,6,10,10,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,7,15,17,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,6,1,1,1,0,0,0,0,2,0,1,0,0,1,1,0,1,2,1,0,0
9,14,13,14,13,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,1
10,4,5,9,10,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,2,2,3,6,6,0,0,0,1,1,0,0,0,3,0,0,1,0,0,0,0
13,6,5,3,2,5,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
14,3,2,2,1,2,1,1,0,0,1,0,0,3,0,1,0,0,0,1,0,0
