cell_id,cell_size,nucleus_size,trans_num,life_span
1,7867,2962,1,15.0
2,7964,3294,2,21.0
3,7466,5853,1,5.0
4,7608,3127,1,20.0
5,7834,3162,1,21.0
6,6992,2915,2,12.0
7,7976,2920,0,5.0
8,6935,3183,2,9.0
9,7126,3103,1,17.0
10,7085,2974,0,5.0
11,7317,3001,2,21.0
12,6615,3351,1,6.0
13,8029,3306,2,21.0
