cell_id,cell_size,nucleus_size,trans_num,life_span
1,8006,3227,2,21.0
2,7493,3021,1,4.0
3,7819,3127,1,21.0
4,7428,3232,1,9.0
5,7075,3318,1,6.0
6,7363,3420,1,16.0
7,6976,3235,2,21.0
8,7959,3168,1,5.0
9,7508,3068,1,21.0
10,7241,3050,1,5.0
11,7924,3145,2,21.0
12,7302,3188,1,11.0
