cell,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
1,2971.0,3250.0,3314.0,3205.0,3638.9999999999995,3711.9999999999995,3129.0,3066.0,3116.0,3369.0,2981.0,2946.0,6370.0,3591.0000000000005,3385.0,3421.0,3038.0,3343.0,3387.0,2849.0,22713.0
2,5570.0,7092.000000000001,6981.0,6824.0,6122.0,19225.0,27168.0,29581.0,14743.0,32887.0,27296.0,19945.0,36968.0,24902.999999999996,19794.0,10834.0,7161.0,10455.0,15138.0,23045.0,24257.999999999996
3,2481.0,4567.0,6070.0,2837.0,1586.0,10122.0,2901.0,2206.0,6261.0,4178.0,2264.0,1656.0,1662.0,1727.0,1589.0,1351.0,1736.9999999999998,1870.9999999999998,1579.0,6540.0,8075.0
4,3718.0,3655.0,3656.0,3608.0,3620.0,3319.0,3492.0,3866.0000000000005,3402.0,3490.0,3644.0,10674.0,7757.0,5323.0,4206.0,4263.0,3794.9999999999995,3511.0,3468.0,25563.0,13338.0
4,254.0,187.0,65.0,60.0,136.0,105.0,95.0,99.0,104.0,58.0,62.0,56.0,64.0,66.0,51.0,71.0,53.0,66.0,64.0,102.0,48.0
5,25432.0,20843.0,11923.0,22347.0,24095.0,13260.0,7781.0,5449.0,4625.0,4982.0,4809.0,4995.0,5491.0,6637.0,5779.0,5192.0,19169.0,9875.0,19066.0,8782.0,7425.0
7,7162.0,11953.0,8605.0,32197.999999999996,19086.0,12175.0,16887.0,20962.0,22948.0,9998.0,8197.0,8608.0,27763.0,18827.0,13479.0,8673.0,7747.0,6830.0,6681.0,6637.0,6652.0
6,6012.0,5291.0,4933.0,14297.0,10865.0,5708.0,7215.0,7587.0,5808.999999999999,4826.0,4793.0,5337.0,4937.0,5130.0,4809.0,5043.0,5027.0,4974.0,37879.0,29688.0,20276.0
6,29133.0,17277.0,10900.0,7500.0,4913.0,4626.0,4490.0,4866.0,3899.0,4141.0,4178.0,4030.0,4029.0,4286.0,3852.0,7958.0,4259.0,4265.0,4136.0,5091.0,4417.0
8,5526.0,14362.0,15382.0,21393.0,16158.0,11000.0,6971.0,5823.0,6608.0,9406.0,7281.0,6680.0,5225.0,8768.0,13989.999999999998,23352.999999999996,13175.0,26023.999999999996,20711.0,25027.0,14638.0
9,4097.0,4888.0,9863.0,5999.0,4615.0,5998.0,5462.0,17659.0,14476.0,31924.0,21036.0,10906.0,6728.0,5870.0,6800.0,17999.0,17564.0,9532.0,6297.000000000001,6423.0,14840.0
10,2285.0,2032.0,2358.0,2044.0,2193.0,2338.0,2105.0,2029.0,2156.0,2133.0,12805.0,6380.0,4253.0,6373.0,4285.0,2095.0,2096.0,2150.0,2132.0,1983.0,3254.0
11,1664.9999999999998,9030.0,4920.0,2016.0,1648.0,5784.0,3307.0,3347.9999999999995,2280.0,3942.0,1666.0,1891.0,4292.0,5805.0,1711.0,1973.0,2196.0,1538.0,1506.0,2019.0000000000002,1961.0
11,4112.0,4153.0,4247.0,8727.0,6822.0,17950.0,12603.0,30846.0,17714.0,11061.0,6884.0,14634.0,14685.0,6830.0,4235.0,14333.0,20266.0,11524.0,12214.0,6767.0,5370.0
12,10596.0,4369.0,4540.0,4495.0,18191.0,7954.0,4382.0,4300.0,5643.0,4963.0,25666.0,18545.999999999996,12473.0,7678.0,7254.0,4206.0,4721.0,4421.0,4158.0,4212.0,4772.0
