cell id,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
1,13,7,5,5,4,3,2,2,2,1,1,1,0,2,3,4,2,1,0,0,0
2,0,0,0,1,1,1,6,11,15,17,17,17,17,23,22,19,13,11,6,5,6
3,2,1,4,5,4,4,5,4,6,3,1,1,0,0,0,0,1,1,0,2,5
4,1,1,2,1,6,4,3,3,1,2,2,1,2,6,6,4,2,3,2,5,16
5,11,14,11,9,18,20,15,7,6,4,2,2,1,1,4,1,1,5,9,12,12
6,16,24,22,17,10,13,7,6,7,5,3,1,1,0,0,0,3,1,1,10,23
7,4,1,1,6,13,15,13,12,13,13,12,9,10,6,9,8,9,6,5,3,1
8,2,5,9,11,15,11,8,9,1,1,2,4,4,2,1,3,6,13,10,14,21
9,0,0,0,2,0,1,1,2,3,10,17,18,16,14,12,13,10,15,13,11,6
10,13,8,7,3,2,1,0,0,0,0,0,2,5,8,5,3,2,3,2,2,1
11,12,8,9,7,7,8,11,17,23,27,22,22,17,19,21,20,13,16,15,17,12
12,14,15,13,10,4,8,8,3,3,3,4,9,16,16,11,9,6,2,2,1,0
