cell id,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
1,2,3,7,7,11,6,5,2,3,3,1,0,0,0,3,5,12,16,18,23,16
2,10,24,22,18,13,10,7,6,5,5,3,3,3,5,5,2,0,0,1,4,2
3,8,5,2,1,1,1,0,0,6,12,4,6,2,4,3,3,11,14,11,10,8
4,6,4,5,8,6,4,3,3,2,3,1,6,9,14,16,25,24,20,13,16,13
5,16,17,18,14,11,8,6,4,3,0,4,9,11,16,15,13,13,13,13,11,8
6,11,13,12,9,7,4,6,6,4,8,15,12,12,8,8,9,9,10,11,5,6
7,17,12,16,11,6,2,1,3,6,11,10,5,2,2,6,6,3,3,3,2,2
8,5,7,3,5,3,3,1,0,1,5,11,11,12,7,10,9,6,7,7,6,4
9,16,10,10,9,6,6,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0
10,5,7,11,16,14,9,8,5,8,6,6,4,3,2,5,6,11,15,15,9,9
11,20,16,9,7,3,2,1,5,5,5,2,4,3,3,3,5,7,14,16,11,10
12,12,8,9,5,5,3,2,8,11,13,15,10,5,4,3,3,3,4,9,18,16
