cell,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
1,33637.0,20160.0,11377.0,11256.0,8991.0,8142.999999999999,7881.0,7806.0,20729.0,18245.0,16305.0,27174.0,27541.0,22029.0,46273.0,38452.0,29254.0,16593.0,19711.0,15024.0,9805.0
2,1146.0,1252.0,1168.0,1166.0,1221.0,1126.0,1069.0,1281.0,1252.0,1322.9999999999998,1221.0,5652.0,2721.0,1095.0,1159.0,1125.0,1208.0,1217.0,1279.0,1164.0,2024.0
3,1212.0,1096.0,1261.0,6172.0,2878.0,1007.0,1322.0,1302.0,1757.0,1750.0,1722.0,1146.0,1278.0,1153.0,1127.0,1286.0,1161.0,1594.0,1334.0,1030.0,1104.0
3,2932.0,3074.0,3136.0,3052.0,3547.0000000000005,3154.0,3098.0,3036.0,5595.0,9197.0,5963.0,3237.0,3021.0,3012.0,8946.0,20631.0,8198.0,3600.0,8507.0,8004.000000000001,5492.0
4,38445.0,20123.0,10557.0,9495.0,10383.0,7898.0,7246.0,24359.0,13836.0,10313.0,8503.0,6673.0,7008.0,6174.0,16976.0,9901.0,8947.0,6501.0,9993.0,18063.0,11269.0
5,2467.0,2430.0,2730.0,2614.0,13072.0,6514.000000000001,5703.0,6280.999999999999,12535.999999999998,6384.0,13792.0,5039.0,6462.0,3872.0,3757.0,3209.0000000000005,2552.0,2282.0,2043.0,12184.0,4883.0
5,6515.000000000001,5734.0,5411.0,4753.0,4962.0,2536.0,2618.0,2591.0,2998.0,2538.0,4492.0,2726.0,2740.0,2544.0,2336.0,17557.0,9051.0,4503.0,3239.0,2406.0,2729.0
6,11830.0,16787.0,12266.0,9786.0,6672.0,5350.0,13332.999999999998,8860.0,15995.0,8293.0,5606.0,5589.0,37897.0,20995.0,23650.0,17994.0,10114.0,19525.0,10141.0,11084.0,8114.0
7,4122.0,2053.0,2064.0,2021.0,2147.0,2306.0,2146.0,4967.0,12580.0,7518.0,5901.0,7985.0,6499.0,4405.0,3139.0,2105.0,2336.0,2208.0,1776.0,2340.0,2187.0
8,5480.0,3926.0,3062.0,9787.0,5146.0,17122.0,6922.0,4211.0,3032.0,7240.0,16057.0,7012.0,4383.0,5570.0,4707.0,19423.0,10921.0,5887.0,4611.0,3201.0,3131.0
8,2293.0,2731.0,2326.0,2202.0,2220.0,1954.0,6007.0,4524.0,3577.0,7150.0,3754.0,3043.0,2346.0000000000005,2217.0,2143.0,2169.0,2262.0,2000.0,2124.0,2077.0,12506.0
9,2552.0,1989.0,2209.0,9849.0,6184.999999999999,5221.0,3755.0,3655.0,3030.0,7177.0,10818.0,6555.0,2880.0,2099.0,2377.0,2412.0,2246.0,2266.0,2069.0,2042.0,2045.0
9,3287.0,4356.0,3546.0,23502.0,13706.0,7295.0,8718.0,5200.0,3258.0,3134.0,3489.0,19097.0,15442.000000000002,5625.0,4336.0,3233.0,6789.0,7318.000000000001,4356.0,16790.0,9108.0
10,4962.0,4622.0,4368.0,4317.0,18653.0,8630.0,8163.000000000001,4229.0,4211.0,4140.0,4013.0,4130.0,4178.0,3835.0000000000005,3927.0,4330.0,4594.0,3886.0,4112.0,22352.0,24110.0
12,3695.0,4057.0,4423.0,4142.0,3845.0,9635.0,10790.0,5519.0,3855.0,3915.0,4341.0,3800.0,21377.0,13679.0,8860.0,4742.0,3740.0,3713.0,3614.0,6426.0,6695.0
11,14607.999999999998,6273.0,6217.0,4787.0,14691.0,8421.0,11517.0,9456.0,7534.0,7174.0,3739.0,2781.0,3080.0,2993.0,2737.0,4624.0,4308.0,4378.0,2948.0,3134.0,2979.0
