cell,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
1,1351.0,2373.0,4349.0,3410.9999999999995,1731.0,1620.0,2435.0,1710.9999999999998,1571.0,1651.0,1540.0,1624.0,1559.0,1716.0,1788.0000000000002,1632.0,1551.0,1637.0,1515.0,9355.0,4337.0
1,1887.0,2092.0,2314.0,2049.0,1950.0,1981.0,2137.0,1831.0,1879.0,5726.0,11301.0,7714.0,4734.0,2598.0,3355.0,1927.0,1755.0,1861.0,1741.0,1975.0,1718.0
2,1423.0,513.0,364.0,270.0,308.0,298.0,346.0,351.0,312.0,353.0,373.0,353.0,345.0,350.0,354.0,306.0,295.0,320.0,365.0,288.0,333.0
4,6282.0,4088.0,19518.0,11635.0,9650.0,9701.0,5280.0,4608.0,3805.0,3610.0000000000005,3650.0,3497.0000000000005,3013.0,2893.0,2757.0,2542.0,2705.0,3218.0000000000005,2867.0,2986.0,3027.0
5,5537.0,5476.0,5724.0,4818.0,4911.0,5084.0,4616.0,6749.0,5193.0,4548.0,4323.0,35752.0,26540.0,16694.0,9924.0,7593.0,14267.0,7503.0,4855.0,12259.0,7816.0
6,16655.0,13597.0,29077.0,19313.0,14938.0,20030.0,18107.0,16366.0,28915.0,22452.0,46401.0,46198.0,38732.0,38719.0,8056.0,7877.0,7836.0,7893.0,7240.0,7535.0,7123.0
7,9817.0,7049.0,7022.0,14042.0,9007.0,14650.0,10302.0,7276.999999999999,6917.0,6703.0,34132.0,18789.0,31262.999999999996,22316.0,12810.0,7786.0,7213.000000000001,7311.000000000001,7196.000000000001,6641.0,6815.0
8,7034.0,4210.0,3683.0000000000005,6351.0,11119.0,5384.0,6255.0,22409.0,9922.0,5317.0,5432.0,14395.000000000002,6935.0,7103.000000000001,5393.0,3619.0,3482.0,3365.0,3321.0,3299.0,2892.0
9,5841.0,4835.0,16814.0,8671.0,10419.0,8269.0,5999.0,5370.0,32531.0,18400.0,7386.0,6327.0,5519.0,5134.0,5301.0,5301.0,4839.0,5040.0,4888.0,5226.0,5520.0
10,2722.0,2831.0,19449.0,12098.0,6850.0,4331.0,3807.0,2666.0,3229.0,3115.0,2596.0,2663.0,2837.0,2996.0,2672.0,2795.0,2911.0,2783.0,2893.0,2606.0,2941.0
11,2750.0,14651.0,6225.0,2324.0,2313.0,2253.0,2384.0,2339.0,2213.0,2124.0,2462.0,2468.0,2079.0,2393.0,2213.0,2377.0,2239.0,2534.0,2137.0,2325.0,2320.0
12,9190.0,21997.0,10958.0,7730.0,6600.0,5594.0,5407.0,5343.0,5531.0,6445.0,8762.0,6846.000000000001,6093.0,24775.0,12530.000000000002,8369.0,30871.0,23135.0,28961.0,23155.0,13676.000000000002
