cell_id,cell_size,nucleus_size,trans_num,life_span
1,6901,3092,2,21.0
2,7209,2986,1,21.0
3,7955,3338,1,17.0
4,8115,3354,1,21.0
5,7152,3316,2,21.0
6,7741,3296,2,21.0
7,7785,3253,0,5.0
8,7031,3243,1,21.0
9,7529,3031,0,5.0
10,7100,3155,2,21.0
11,7444,3144,1,21.0
12,8277,3370,1,21.0
13,7155,3321,2,21.0
14,6971,3292,1,21.0
