cell id,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
1,0,0,3,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,5,4,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3,8,5,3,4,4,4,3,0,0,0,0,0,0,5,9,8,6,8,7,7,6
4,10,9,5,5,1,10,9,4,2,0,3,6,5,13,16,10,3,2,0,2,1
5,9,6,7,4,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,4,2,1,0,0,0,0,0,1,0,6,4,0,0,0,0,0,0,0,0
7,4,4,6,5,6,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5,7,13,10,13,10,15,13,12,9,7,3,4,8,6,3,9,11,9,8,5
10,0,0,2,2,3,1,0,0,0,0,0,6,6,7,3,2,2,1,11,12,6
