cell,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
1,2889.0,19978.0,8015.0,5811.0,3092.0,4224.0,11163.0,9019.0,6464.0,19308.0,17741.0,10594.0,4309.0,3553.0,3457.0000000000005,3342.0,3035.0,11478.0,6058.0,5695.0,14117.0
1,6206.000000000001,4160.0,6548.000000000001,4893.0,2760.0,3228.0,9083.0,4995.0,3798.0,3396.0,9545.0,11930.0,7868.0,3040.0,2838.0,2499.0,2094.0,2388.0,2276.0,2007.0,2573.0
2,10174.0,12474.0,7644.0,4732.0,3828.0,2837.0,2172.0,1878.0,1886.0,2044.0,1931.0,2180.0,8612.0,6670.0,3422.0,3399.0,2725.0,2945.0,1752.0,2038.0,2128.0
2,996.9999999999999,1573.0,1462.0,4916.0,2015.0,1486.0,1375.0,1100.0,1150.0,1056.0,986.0,1095.0,1109.0,1974.0,1420.0,1170.0,914.0,1197.0,1488.0,998.0000000000001,1069.0
4,10539.0,14998.0,8471.0,13876.0,6131.0,5451.0,4196.0,6474.0,4889.0,3957.0,4021.9999999999995,12599.0,9071.0,5431.0,5863.0,4440.0,4008.0,3627.0,3692.0,3863.0,3782.0
5,4670.0,5033.0,5031.0,4484.0,4324.0,11500.0,6790.0,21989.999999999996,21460.0,11579.000000000002,19813.0,10909.999999999998,12740.000000000002,6970.0,7190.0,5382.0,4385.0,12669.0,9248.0,10103.0,8498.0
6,30802.000000000004,17953.0,12709.0,5836.0,5687.0,5345.0,7203.0,6476.0,4757.0,4931.0,4882.0,4466.0,14277.0,24246.0,12826.000000000002,6300.0,5885.0,5036.0,4469.0,5020.0,4743.0
7,14891.0,11453.0,8327.0,4855.0,5592.0,13742.0,41351.0,36529.0,26326.0,18733.0,8875.0,7918.999999999999,6758.0,6637.999999999999,5574.0,5718.0,5501.0,5190.0,5875.0,5643.0,5377.0
8,4558.0,5064.0,18098.0,10792.999999999998,9937.0,7709.0,7886.0,27276.0,21529.0,15769.999999999998,8009.0,8449.0,6545.0,11788.0,10580.000000000002,10141.0,7125.0,21655.0,12059.0,6569.0,18180.0
10,8345.0,5788.0,5501.999999999999,5316.0,18106.0,13117.0,11067.0,8724.0,6558.999999999999,15058.0,12487.0,26117.000000000004,14451.0,31059.0,27147.0,15608.0,5566.0,7975.0,5203.0,15076.999999999998,8393.0
11,957.0,1009.9999999999999,869.0,893.0,4446.0,2753.0,1134.0,977.0,887.0,925.0,1082.0,1064.0,901.0,954.0,958.0,922.0,966.0,1015.0,895.0,907.0,1001.0
11,2896.0,7002.0,3908.0,2552.0,2338.0,2904.0,2435.0,2538.0,15321.0,9030.0,4951.0,14248.0,6044.0,12619.0,6174.0,2704.0,2603.0,2498.0,2656.0,2370.0,2719.0
12,2087.0,2232.0,2337.0,2082.0,2286.0,2315.0,2339.0,2150.0,2020.0,2119.0,2165.0,2378.0,2130.0,2013.0,10156.999999999998,5525.0,4514.0,2765.0,2961.0,2705.0,13311.0
12,4261.0,2497.0,1868.0,1291.0,6447.0,3025.0,2532.0,1929.9999999999998,1703.0000000000002,1314.0,1245.0,1146.0,1244.0,1153.0,1330.0,1362.9999999999998,1241.0,1466.0,1397.0,1309.0,1227.0
13,5676.0,5589.0,25231.000000000004,15398.0,27378.0,15377.0,7226.000000000001,6914.0,6468.000000000001,6188.0,14544.000000000002,6359.0,6580.0,5610.0,6094.0,6387.999999999999,10192.0,23685.0,15664.0,30744.999999999996,13046.999999999998
