cell id,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
1,11,9,9,8,6,4,8,9,10,9,12,18,20,18,14,11,6,5,5,4,4
2,8,9,9,11,7,10,7,9,4,4,1,1,2,9,10,6,5,5,2,1,2
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,6,9,7,10,11,7,5,7,4,2,1,5,9,3,3,3,2,2,1,0
5,1,0,0,0,0,0,1,3,7,13,11,13,14,12,10,6,5,10,11,6,4
6,7,12,14,13,14,8,3,1,1,5,3,2,4,5,12,11,8,8,4,4,2
7,8,7,2,3,2,1,4,16,25,17,15,13,10,4,4,4,2,1,1,0,0
8,3,2,1,6,5,5,4,6,7,11,15,12,9,8,7,8,7,6,8,9,6
9,5,5,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,2,1,3,2,6,4,0,1,2,6,8,10,10,17,19,18,13,10,10,11
11,4,3,7,4,3,3,3,4,4,8,4,6,10,13,10,9,9,3,3,2,1
12,8,5,6,6,3,10,8,6,6,2,1,1,1,0,0,1,2,1,1,1,1
13,0,0,2,12,8,12,12,9,5,4,6,5,6,5,2,2,2,2,7,11,20
