cell,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
2,1927.0,1958.0,1982.0,2132.0,1939.0,1971.0,1777.0,2068.0,2019.0,6307.0,10264.0,9099.0,6462.0,4482.0,7611.0,5014.0,3926.0,7246.0,7880.0,4847.0,3089.0
4,6934.000000000001,15332.0,37437.0,19685.0,8889.0,6479.000000000001,35305.0,24478.0,29248.0,33290.0,26211.0,15065.0,20925.0,10043.0,8433.0,18565.0,9656.0,8331.0,5681.0,5642.0,5195.0
5,28743.0,15445.0,13147.0,22029.0,10870.0,13868.0,20019.0,7947.0,5209.0,5963.0,12236.0,7322.0,7522.000000000001,6094.0,5885.0,7497.0,5163.0,5835.0,5063.0,5028.0,5169.0
6,4106.0,8283.0,3031.0,2115.0,1477.0,1436.0,1644.0,1570.0,1382.0,1328.0,1255.0,1472.0,1558.0,1287.0,1302.0,1707.0,1799.0,1948.0,1407.0,1441.0,1250.0
6,1505.0,1529.0,1574.0,1451.0,1582.0,2688.0,1960.0,1593.0,1398.0,1555.0,1542.0,4829.0,2465.0,2356.0,1913.0,8425.0,4217.0,6269.0,4830.0,3402.9999999999995,1684.0000000000002
7,11927.0,6508.0,6633.000000000001,19461.0,19584.0,8221.0,5038.0,5787.000000000001,5729.000000000001,5069.0,14251.0,7437.0,6107.0,14952.000000000002,11594.0,20282.0,37305.0,24442.0,13186.0,8809.0,10321.0
7,16400.0,13939.0,7442.0,4737.0,5459.0,4837.0,5116.0,3881.0,3791.0,3873.0,4150.0,4555.0,3906.0,23661.0,25605.0,14316.0,10496.0,18315.0,7286.0,6571.0,4029.0
7,133.0,62.0,94.0,69.0,77.0,62.0,58.0,54.0,64.0,67.0,65.0,58.0,60.0,51.0,59.0,105.0,243.0,79.0,73.0,86.0,64.0
8,5403.0,5476.0,5354.0,5282.0,5400.0,5039.0,7056.0,5304.0,5658.0,6380.0,36979.0,5633.0,5341.0,5005.0,5106.0,5364.0,5250.0,5080.0,4939.0,5327.0,5235.0
9,545.0,603.0,546.0,674.0,1031.0,846.0,629.0,1145.0,2651.0,1376.0,591.0,547.0,599.0,638.0,569.0,564.0,546.0,585.0,507.0,620.0,594.0
9,2744.0,2435.0,2867.0,10825.0,17654.0,9838.0,8016.000000000001,3535.9999999999995,5119.0,3330.0000000000005,2686.0,2969.0,2846.0,2962.0000000000005,2507.0,2427.0,2894.0,2908.0,2747.0,2819.0,2763.0
11,2464.0,2297.0,2266.0,2096.0,2367.0,2446.0000000000005,11775.0,3781.0,3491.0,2863.0,2888.0,2977.9999999999995,2313.0,3127.9999999999995,2891.0,2228.0,2322.0,2468.0,12996.0,5693.0,2096.0
11,1855.0,12143.0,7555.0,5078.0,2989.0,1857.0,1961.0,1969.0,2001.0,6945.0,3678.0,2436.0,2498.0,1820.0,1912.0,1925.0,2099.0,2100.0,2012.0,2665.0,1796.0
12,5269.0,4425.0,4858.000000000001,4629.0,4635.0,9656.0,24286.0,20153.0,9081.0,9849.0,23738.0,16308.0,11185.0,27404.0,10541.0,5906.0,26070.0,30192.0,22793.0,12098.0,8136.0
12,1166.0,1258.0,1171.0,1304.0,1298.0,1838.0000000000002,1095.0,1345.0,1235.0,1303.0,1260.0,1874.0,1328.0,1223.0,5605.0,3285.0,1875.0000000000002,1588.0,1408.0,1118.0,1216.0
