cell_id,cell_size,nucleus_size,trans_num,life_span
1,7478,3007,0,5.0
2,8026,3214,1,21.0
3,7684,2911,1,21.0
4,7310,2943,1,21.0
5,7718,2709,0,5.0
6,7068,3169,1,21.0
7,7706,3280,1,8.0
8,7644,3058,1,21.0
9,7786,3154,2,21.0
10,7829,3011,2,21.0
