cell_id,cell_size,nucleus_size,trans_num,life_span
1,7265,2859,0,5.0
2,7049,3018,0,8.0
3,7575,2839,2,6.0
4,7913,2899,1,16.0
5,7582,2956,2,17.0
6,6973,3201,1,15.0
7,8397,2996,1,17.0
8,7958,3323,1,5.0
9,8256,3009,1,21.0
10,7904,3029,3,21.0
