cell id,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,8,14,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,12,6,3,0,0,0,6,8,4,0,0,0,0,0,0,5,0,0,0,0,0
5,5,2,1,7,11,9,5,3,1,2,0,2,4,9,6,2,1,0,0,0,0
6,14,12,6,5,4,11,12,8,7,9,13,15,9,6,7,0,0,0,0,0,0
7,11,10,12,5,1,0,8,11,12,4,0,7,6,9,4,6,5,0,0,0,0
8,0,5,3,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,18,12,7,10,5,4,7,12,10,6,6,4,8,10,7,8,11,9,12,9,5
10,9,13,8,1,0,0,0,18,17,14,10,11,11,9,7,4,3,0,0,0,3
