cell id,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
1,2,1,1,0,0,0,0,0,3,2,3,6,7,4,2,1,0,0,3,2,3
2,21,17,15,11,11,5,4,4,4,2,2,4,6,0,0,0,0,0,0,0,0
3,6,6,8,6,8,9,4,5,5,6,9,7,5,3,4,4,5,5,4,3,2
4,6,5,7,18,24,22,18,20,17,12,11,6,4,3,11,7,10,14,15,5,1
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,5,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,5,10,8,10,9,9,12,14,11,5,7,6,1,2,6,13,0,0,0
8,4,5,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,1,2,0,0,0,0,10,15,14,9,7,7,6,5,6,7,9,7,7,10
10,1,4,1,5,5,2,3,7,11,12,12,14,13,13,8,7,15,23,24,27,0
11,6,3,5,4,3,3,4,2,2,3,2,0,1,0,0,0,0,0,0,0,0
12,6,19,17,20,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
