cell,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
1,2465.0,8362.0,4658.0,2162.0,2055.0,2258.0,2265.0,2246.0,2143.0,2344.0,6011.0,4126.0,2882.0,2991.0,7310.0,13406.0,5957.0,2090.0,2709.9999999999995,2766.0,2595.0
1,1426.0,1807.0,1250.0,1086.0,1041.0,1189.0,1253.0,2252.0,1674.0,1130.0,5167.0,2997.0,1917.0,2062.0,1310.0,1737.0,1103.0,1082.0,3414.0,2689.0,2929.0
2,3199.0,4355.0,3613.0,3210.0,3792.0,3121.0,3034.0,3031.0,3251.0000000000005,3031.0,2723.0,2869.0,3107.0,2740.0,3178.0000000000005,3240.0,3450.0000000000005,17255.0,7148.000000000001,19968.0,5197.0
3,2535.0,2718.0,2857.0,4769.0,2325.0,2485.0,3146.9999999999995,2316.0,2379.0,7704.0,4062.0,3190.9999999999995,15195.0,7652.0,3971.0,4217.0,7892.0,2633.0,2502.0,2418.0,11142.0
2,18624.0,7619.0,5762.0,3431.9999999999995,4393.0,9307.0,7702.0,5363.0,6133.0,5973.0,3845.0,2507.0,2389.0,6569.000000000001,6063.000000000001,3621.0,8764.0,5234.0,3481.0,3727.0,3047.0
4,6320.0,5100.0,3015.0,7185.999999999999,6101.0,3844.0,3767.0000000000005,6927.0,3535.9999999999995,3607.0,2858.0,4366.0,2825.0,3318.0000000000005,2820.0,3573.0,14331.0,8656.0,14927.0,6928.0,3868.0
5,152.0,145.0,237.0,136.0,151.0,171.0,243.0,137.0,371.0,295.0,210.0,327.0,610.0,247.0,211.0,145.0,150.0,147.0,245.0,252.0,150.0
6,9837.0,14513.0,7002.999999999999,6857.0,6107.0,4495.0,4534.0,4559.0,5223.0,6430.000000000001,5774.0,7222.0,10522.999999999998,36567.0,25430.0,21126.999999999996,9751.0,13633.0,7030.0,5427.0,15977.0
8,11707.0,8772.0,6973.0,6863.0,6234.0,5055.0,5322.0,5329.0,24440.0,18811.0,9417.0,8290.0,5461.0,17877.0,9321.0,7321.000000000001,6548.0,22284.0,12079.0,10019.0,13117.000000000002
10,4613.0,4193.0,4370.0,28728.0,22978.0,19678.0,13877.0,10212.0,12777.000000000002,12119.0,14436.0,21731.0,9547.0,7125.0,5461.0,4583.0,4407.0,15100.0,10510.0,5196.0,4077.0
11,2987.0,4765.0,9389.0,3458.0,2730.0,1993.0,2152.0,1916.0,2042.0,1919.0,2135.0,1709.0,1959.0,2121.0,2050.0,1878.0,1841.0,1701.0,1849.0,1909.0,1794.0
11,17124.0,34603.0,25021.0,10833.0,16509.0,8087.000000000001,8170.0,4995.0,5903.0,4890.0,4823.0,4438.0,7257.0,4695.0,4692.0,9652.0,4569.0,4591.0,4846.0,4439.0,4492.0
12,5528.0,4903.0,5061.0,5136.0,7917.0,6667.0,5812.0,4474.0,7338.0,8719.0,36501.0,16943.0,21315.0,17477.0,10950.0,11962.0,8107.0,22159.0,13903.0,8413.0,8027.0
