cell_id,cell_size,nucleus_size,trans_num,life_span
1,7229,3288,2,21.0
2,7150,3308,2,21.0
3,7083,3252,1,21.0
4,6997,3367,1,21.0
5,7064,3191,1,21.0
6,7967,3293,1,21.0
7,7224,3009,0,5.0
8,7449,3320,1,21.0
9,7348,3074,0,6.0
10,7716,3390,1,21.0
11,8037,2995,2,21.0
12,7153,3865,1,21.0
