cell id,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
1,0,2,2,2,1,1,0,0,0,0,0,0,3,1,3,3,6,12,11,9,5
2,12,11,7,4,3,8,15,15,7,8,12,12,7,13,11,6,4,3,3,1,4
3,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,1,5,3,2,5,7,11,13,17,15,15,16,9,8,8,4,6,7,3,0
5,27,25,22,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,3,2,4,4,7,5,7,10,10,6,11,9,6,4,1,1,0,0,0,0
7,5,5,5,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,18,18,14,10,6,3,7,9,13,10,14,11,8,0,0,0,0,0,0,0,0
9,2,8,12,9,12,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
13,13,15,12,10,16,14,13,11,10,5,3,1,4,6,11,7,12,7,8,3,7
