cell_id,cell_size,nucleus_size,trans_num,life_span
1,7554,2930,3,21.0
2,6962,3060,1,21.0
3,7173,2914,1,6.0
4,8392,3131,1,20.0
5,7941,2960,1,5.0
6,8114,3135,1,18.0
7,6662,2942,0,7.0
8,7164,2782,2,13.0
9,7259,3127,2,7.0
10,6814,2865,0,6.0
11,7685,3021,0,5.0
12,8079,2875,0,12.0
13,8271,2928,2,21.0
