cell_id,cell_size,nucleus_size,trans_num,life_span
1,6927,3063,0,5.0
2,7683,3113,2,21.0
3,8240,3120,1,21.0
4,7486,3173,2,21.0
5,7931,3250,2,21.0
6,7781,3061,1,21.0
7,7596,3123,2,21.0
8,7468,3207,1,21.0
9,7738,3063,1,21.0
10,7239,2938,1,21.0
11,8242,3339,2,21.0
12,7898,2875,0,5.0
13,7824,3038,1,21.0
