cell_id,cell_size,nucleus_size,trans_num,life_span
1,8165,3180,2,21.0
2,7213,2832,0,5.0
3,7556,3036,1,14.0
4,7221,3252,2,14.0
5,7623,3102,1,21.0
6,8524,3477,1,21.0
7,7548,3328,1,7.0
8,8391,3382,1,21.0
9,7614,3282,1,18.0
