cell,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
1,1988.0,2077.0,2300.0,2080.0,1945.0,2235.0,1935.0,12692.0,8349.0,7517.0,2148.0,2177.0,4393.0,2779.0,3486.0,2722.0,2737.0,2132.0,1952.0,2102.0,1890.0
1,3671.0,2432.0,1643.0,5225.0,5193.0,4103.0,2038.0,1591.0,1081.0,1074.0,1061.0,1561.0,1576.0,1298.0,1194.0,1084.0,983.0,952.0,3476.0,2481.0,2455.0
3,1935.0,2076.0,1716.0,2041.0,1815.0,2030.0,11479.0,4537.0,2081.0,4407.0,4477.0,2745.0,4341.0,4387.0,1884.0,2039.0,1824.0,1846.0,1706.0,1977.0,1970.0
4,2395.0,2485.0,2345.0,15291.0,7502.0,4914.0,4856.0,3742.0,2290.0,2555.0,2576.0,3120.0,2399.0,2682.0,2263.0,2563.0,2510.0,2356.0,2349.0,2437.0,2381.0
4,189.0,174.0,183.0,195.0,744.0,192.0,156.0,201.0,177.0,160.0,139.0,195.0,185.0,174.0,172.0,179.0,179.0,201.0,174.0,168.0,185.0
6,26967.0,29080.0,14210.0,16296.0,35297.0,32189.999999999996,28381.0,23391.0,16055.000000000002,9140.0,12117.0,11361.0,36647.0,23517.0,14123.0,20612.0,12407.0,10248.0,7565.0,6816.0,6764.0
5,11395.0,11778.999999999998,7904.0,6609.0,7152.0,6870.0,5268.0,4739.0,6536.0,5724.0,4547.0,5024.0,4932.0,5486.999999999999,5061.0,6443.0,5311.0,4732.0,8881.0,37659.0,31259.0
7,4916.0,7390.0,5356.0,3884.0,3824.0,7329.0,22152.0,4338.0,3802.0,3447.0,3819.0,3953.0,4158.0,3990.0,4131.0,4048.0,3887.0,3902.0,3571.0,3523.0,4147.0
8,14111.0,10887.0,11024.0,7718.0,25540.0,16582.0,8660.0,7258.0,5872.0,35002.0,18389.0,27828.0,31446.0,21008.0,9710.0,7881.000000000001,7044.0,11187.0,21832.0,14948.999999999998,13199.0
9,5304.0,5181.0,5386.0,4763.0,9615.0,12745.0,23998.0,14461.0,13151.000000000002,6635.999999999999,5090.0,5291.0,5128.0,5512.0,10503.0,7758.000000000001,25973.0,12939.0,5056.0,5417.0,4750.0
