cell_id,cell_size,nucleus_size,trans_num,life_span
1,8829,3990,2,13.0
2,7466,3389,2,12.0
3,7734,3134,1,15.0
4,7187,2891,0,5.0
5,7546,3030,1,21.0
6,7998,3194,1,16.0
7,7690,3255,2,21.0
8,7872,3304,1,17.0
9,7271,3222,1,19.0
10,7561,3181,1,6.0
11,7594,2957,1,4.0
