frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
11.0,11.0,11.0,11.0,11.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,6.0,5.0,4.0,3.0,3.0,2.0,2.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 2, 3, 5, 6, 7, 8, 9, 10]","[1, 2, 3, 5, 6, 7, 8, 9]","[1, 2, 3, 5, 6, 7, 8, 9]","[1, 2, 3, 5, 6, 7, 8, 9]","[1, 2, 3, 5, 6, 7, 8, 9]","[1, 2, 3, 5, 6, 7, 8, 9]","[1, 2, 3, 5, 6, 7, 8, 9]","[1, 3, 5, 6, 7, 8, 9]","[3, 5, 6, 7, 8, 9]","[3, 5, 6, 7, 8, 9]","[5, 6, 7, 8, 9]","[5, 7, 8, 9]","[5, 7, 9]","[5, 7, 9]","[5, 7]","[5, 7]"
