cell id,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
1,15,8,8,8,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2,4,3,1,1,1,1,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0
3,8,7,14,20,21,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0
4,12,8,7,12,10,1,0,1,1,3,3,0,0,0,0,0,1,0,0,3,2
5,2,4,7,15,19,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
6,5,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,1,4,12,16,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
9,2,5,5,4,14,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
10,9,19,21,14,11,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
11,2,3,4,10,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,15,9,12,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
14,3,6,8,5,4,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
