cell,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
2,5027.0,4296.0,4388.0,4597.0,8818.0,6773.999999999999,5074.0,4545.0,4583.0,14885.0,24426.0,7987.0,7864.999999999999,5409.0,18250.0,14161.0,5978.0,4468.0,4726.0,10747.0,7760.0
1,3993.0,2398.0,8462.0,7118.0,2996.0,2629.0,1748.0,12224.0,5973.0,2987.0,2846.0,3273.0,4433.0,3595.0,2906.0,1881.0,2127.0,1993.0,2048.0,3707.0,3140.0
3,3779.9999999999995,10805.0,19161.0,8212.0,19020.0,11206.0,5319.0,7364.0,5392.0,17621.0,15444.0,7323.0,6648.0,3992.0000000000005,4580.0,3132.0,3375.0,3458.0,3124.0,3147.0,3189.0
3,4616.0,14106.0,5171.0,2846.0,5140.0,3358.0,5774.0,3290.0,2560.0,2502.0,2468.0,2253.0,2197.0,2291.0,2383.0,2428.0,2347.0,2102.0,2612.0000000000005,2187.0,2290.0
4,3457.0,10187.0,6751.0,4910.0,4468.0,7442.000000000001,4710.0,15493.000000000002,7372.0,4371.0,4059.0,3481.0,4456.0,24941.0,16611.0,8461.0,5114.0,4374.0,3557.0,7003.0,5331.0
4,9916.0,7897.0,14385.0,10515.0,6382.0,6021.000000000001,5381.0,5195.0,39022.0,27032.0,13607.0,8984.0,5672.0,6055.0,5095.0,5596.0,9929.0,10321.0,18745.0,23400.0,14396.0
5,4832.0,14408.0,19574.0,27668.000000000004,30701.0,16628.0,9075.0,16964.0,10353.0,13344.0,29596.0,15579.0,9769.0,6033.0,5379.0,21176.0,26325.0,16013.0,10029.0,18236.0,8403.0
6,1682.0,3617.0,2474.0,2561.0,1911.0,1927.0,1867.0,1909.0,1892.0,2089.0,1791.0,1636.0,1744.0,3161.0,3435.0,1812.0,1894.0,1785.0,1610.0,2043.0,11138.0
7,9070.0,4561.0,3727.0000000000005,2845.0,8295.0,3408.0000000000005,3573.0,11269.0,18125.0,2671.0,2812.0,3000.0,2684.0,2507.0,2681.0,3146.0,2902.0,2625.0,2854.0,2581.0,3066.0
9,9920.0,11634.0,8240.0,38967.0,28882.0,14789.0,21732.0,20370.0,12175.0,8651.0,6511.0,6954.000000000001,5741.0,5892.0,25398.000000000004,15318.0,8877.0,6150.0,21770.0,11822.0,9216.0
8,2332.0,2425.0,2550.0,10188.0,11258.0,5671.0,3514.0,2259.0,2643.0,2612.0,2478.0,2645.0,2392.0,2618.0,2874.0,2754.0,2603.0,2430.0,2667.0,2791.0,15029.0
8,4212.0,12608.0,31752.0,19151.0,7747.0,5120.000000000001,5833.0,5813.0,4746.0,6386.0,4666.0,13112.0,8515.0,12588.0,6716.0,5189.0,5442.0,4545.0,4436.0,4621.0,4612.0
10,33964.0,14981.0,8287.0,6125.0,6261.0,6131.0,10510.0,7195.0,24447.0,11279.0,37261.0,29426.0,14982.0,10152.0,7899.0,6827.0,6608.0,11779.0,11627.0,28226.0,13248.0
11,5002.0,13630.0,23746.0,10853.0,5080.0,7043.999999999999,6626.0,4315.0,4302.0,14522.999999999998,11414.000000000002,20182.999999999996,11000.0,6231.0,5948.0,5349.000000000001,6118.0,5932.0,4332.0,4294.0,4333.0
13,1592.0,1642.0,1815.0,1672.0,1617.0,1890.0,1668.0,1607.0,1765.0,1814.0,1873.0000000000002,1792.0,6239.0,3110.0,1561.0,1686.0,1653.0,2076.0,8295.0,6333.0,3492.0
12,4046.0,6757.0,9527.0,2704.9999999999995,10706.0,6201.0,3943.0,2509.0,2607.0,2715.0,2577.0,2298.0,2349.0,2580.0,2452.0,2647.0,2538.0,2510.0,11012.0,5056.0,15978.0
13,2296.0,2189.0,2252.0,2360.0,2485.0,2411.0,2610.0,2462.0,2189.0,2183.0,3754.0000000000005,5318.0,4892.0,7275.999999999999,3949.0,2795.0,2113.0,6159.0,14819.000000000002,5482.0,5959.000000000001
12,1148.0,684.0,768.0,890.9999999999999,706.0,760.0,3571.0,2599.0,809.0,811.0,838.9999999999999,800.0,724.0,827.0,858.0,737.0,792.0,679.0,782.0,708.0,854.0
14,1695.0,1366.0000000000002,1180.0,969.0,1168.0,5143.999999999999,2821.0,1923.0,4270.0,2313.0,2267.0,1187.0,1106.0,1236.0,2534.0,1456.0,1241.0,1242.0,1143.0,1302.0,1145.0
14,13799.0,9370.0,8759.0,5603.0,6051.0,7785.0,6884.0,11287.0,8016.000000000001,4914.0,4084.0,4204.0,2546.0,2726.0,11228.0,5705.000000000001,3933.0,2434.0,15310.0,13582.0,6631.0
