cell id,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,6,3,2,2,2,1,0,4,4,13,13,9,6,2,3,6,2,2,3,1
4,11,15,10,5,5,4,1,2,2,8,14,18,13,13,12,9,6,7,11,15,10
5,1,0,1,1,3,3,7,9,8,9,7,9,12,12,9,8,7,7,10,7,5
6,3,2,1,0,3,9,10,8,12,9,6,3,3,2,8,11,13,18,15,10,5
7,1,2,5,4,6,15,17,12,8,5,9,7,8,14,11,11,10,7,6,2,2
8,7,17,18,18,14,15,24,23,16,16,19,13,15,12,14,14,16,13,9,9,7
9,12,7,7,7,3,4,4,8,7,7,7,7,5,5,3,3,4,3,0,0,0
