cell_id,cell_size,nucleus_size,trans_num,life_span
1,8053,3094,1,21.0
2,8249,3343,1,16.0
3,8569,3294,2,8.0
4,7762,2842,0,6.0
5,8444,3357,1,21.0
6,8599,3223,2,12.0
7,8200,3201,0,6.0
8,7761,3490,2,21.0
9,8027,2789,0,7.0
10,7548,3226,2,21.0
