cell_id,cell_size,nucleus_size,trans_num,life_span
1,8028,3002,1,21.0
2,7926,3035,1,21.0
3,7222,3351,2,10.0
4,7424,3064,2,19.0
5,7379,3266,2,7.0
6,7295,3023,0,5.0
7,7692,3222,1,5.0
8,8708,3141,2,19.0
9,7505,3216,2,13.0
10,8481,3285,1,21.0
11,7021,3127,1,6.0
12,8116,3050,1,13.0
13,8141,3339,1,8.0
14,7251,3354,2,21.0
15,7076,2932,0,5.0
