cell id,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
1,4,8,3,5,6,4,6,5,5,7,7,4,3,1,0,0,0,0,0,0,0
2,11,11,14,10,8,6,7,9,9,7,12,6,11,14,4,0,6,6,6,5,3
3,8,9,7,4,8,10,6,14,12,5,0,0,0,0,0,0,0,0,0,0,0
4,9,13,11,15,15,11,9,12,8,11,6,14,13,8,3,1,1,0,0,0,0
5,11,6,4,1,4,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,6,11,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,5,0,0
9,3,2,0,10,10,9,16,10,8,8,2,2,0,0,0,0,0,0,0,0,0
10,9,6,4,2,0,0,11,9,6,4,9,8,7,7,11,13,14,7,7,4,1
11,11,5,2,8,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10,8,8,9,2,1,6,5,2,2,2,2,0,0,0,0,0,0,0,0,0
13,4,8,7,8,6,4,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
14,12,10,8,9,7,2,7,3,7,6,8,7,8,18,15,9,7,8,3,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
