cell id,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
1,3,7,6,6,3,2,3,8,9,7,5,5,3,2,1,1,0,0,0,0,0
2,7,6,11,14,15,9,8,15,13,12,9,8,5,8,13,11,7,9,8,9,5
3,6,9,5,5,3,5,5,7,11,10,0,0,0,0,0,0,0,0,0,0,0
4,8,11,14,13,20,18,17,15,15,13,9,14,10,12,11,6,5,2,0,0,0
5,6,8,7,7,7,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,15,10,10,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7,6,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
9,6,5,3,2,8,10,16,16,19,15,14,9,7,0,0,0,0,0,0,0,0
10,12,11,10,5,4,1,9,11,10,7,8,12,11,16,9,18,21,27,18,15,10
11,8,9,8,10,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,9,9,10,11,11,3,3,4,3,2,1,1,1,0,0,0,0,0,0,0,0
13,8,6,7,11,9,7,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0
14,9,16,17,17,13,12,12,10,5,3,5,8,7,12,14,17,17,12,11,6,5
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
