cell,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
2,2950.0,2527.0,10497.0,15068.999999999998,7704.0,4204.0,3472.0,3338.0,9027.0,5801.0,4995.0,7832.0,8711.0,5850.0,6254.000000000001,12725.0,11553.0,15847.0,4416.0,3240.0,14906.0
3,6166.0,9304.0,5909.0,12638.0,14643.0,8868.0,7705.999999999999,6641.0,8071.999999999999,7333.0,9937.0,31321.0,17117.0,10665.0,13137.0,16547.0,10820.0,6902.0,4724.0,4767.0,5281.0
4,13717.0,29376.0,18743.0,10474.0,7166.0,14573.000000000002,5451.0,4328.0,4928.0,9569.0,5783.0,4378.0,8804.0,5781.0,4707.0,4342.0,4545.0,4747.0,4799.0,14457.0,9558.0
5,9645.0,6158.000000000001,25020.0,12370.0,7223.0,5545.0,5956.0,6898.0,6634.0,20219.0,7434.0,4877.0,11513.0,7894.0,5799.0,7251.000000000001,21837.0,11915.0,10850.000000000002,19241.0,16807.0
6,3940.0,3911.0,3937.0,3702.0,4948.0,3863.0,3772.0,6273.0,5612.0,9339.0,25799.0,12160.0,5566.0,4391.0,4445.0,5502.0,3892.0,3802.0,3414.0,3539.0,3706.0
6,2999.0,5475.0,3517.0,2173.0,2267.0,5791.0,3984.0,2653.0,2088.0,10314.0,5111.0,5408.0,3033.0,7048.0,3438.0,3052.0,2129.0,1960.0,2202.0,2243.0,2250.0
7,18447.0,10377.0,7435.0,5015.0,4732.0,4828.0,4023.0,6095.0,15142.0,4552.0,4865.0,4998.0,3752.0,4262.0,3844.0,7424.0,19046.0,19485.0,10375.0,5210.0,18332.0
8,2937.0,2856.0,8505.0,5061.0,3228.0,2617.0,2644.0,4247.0,9028.0,5338.0,10189.0,8435.0,10076.0,5481.0,4412.0,2925.0,2713.0,6179.0,4522.0,3534.9999999999995,2938.0
9,90.0,94.0,356.0,172.0,124.0,94.0,79.0,84.0,92.0,88.0,96.0,82.0,93.0,104.0,100.0,79.0,98.0,90.0,116.0,98.0,87.0
9,1293.0,703.0,599.0,527.0,540.0,575.0,603.0,588.0,604.0,630.0,1074.0,2594.0,2102.0,949.0,576.0,621.0,521.0,663.0,580.0,619.0,624.0
10,39950.0,25128.0,14593.0,10113.0,7143.0,5225.0,5595.0,5366.0,16867.0,23734.000000000004,10880.0,9125.0,12265.0,21222.0,8288.0,5698.0,5975.0,5878.0,5542.0,14494.0,19348.0
12,1015.0,830.0,2343.0,1562.0,2183.0,1484.0,1104.0,869.0,3036.0,1470.0,1100.0,4338.0,2231.0,1722.0,1388.0,845.0,808.0,858.0,822.0,865.0,1038.0
12,5437.0,6488.0,4022.0,3295.0,3229.0,3179.0,3498.0,23211.0,18767.0,7441.0,5533.0,5591.0,3919.0,3425.0,3178.0,3661.0,3311.0,4171.0,3411.0,3185.0,3314.0
11,1865.0,1937.0,1857.0,2091.0,2310.0,1956.0,2126.0,1927.0,1990.0,2279.0,2412.0,2746.0,1980.0,1863.0,1865.0,1891.0,2013.0,2045.0,4080.0,2065.0,12106.0
11,2363.0,4316.0,3103.0,2006.0,9059.0,7760.0,4957.0,2866.0,2371.0,7300.0,4721.0,1555.0,1888.9999999999998,1810.0,1808.0,1593.0,2292.0,3694.9999999999995,5484.0,3861.9999999999995,2451.0
13,5658.0,9209.0,17683.000000000004,7128.0,3927.0,6004.0,4005.9999999999995,3630.0,4413.0,4294.0,29410.0,16130.0,7125.0,4112.0,4117.0,4153.0,4613.0,4093.0,21589.0,10213.0,8154.000000000001
13,4363.0,15120.000000000002,7436.0,6138.0,12288.0,6469.0,5612.0,15275.999999999998,8571.0,5789.0,10252.0,13218.0,4705.0,3270.0,3119.0,3203.0,3640.0,4880.0,18184.0,7838.0,19607.0
14,9844.0,7719.0,16898.0,7960.0,27446.000000000004,17058.0,17772.0,8109.0,5687.0,5280.0,4883.0,4941.0,4455.0,5204.999999999999,31236.0,12608.0,18559.0,19774.0,10957.0,5374.0,4972.0
15,3833.0,7182.000000000001,5747.0,3214.0,3301.0,3098.0,3477.0,3343.0,3476.0,16754.0,21815.0,13642.0,12464.0,15184.999999999998,7453.0,6585.0,5119.0,4023.9999999999995,3078.0,3428.0,3287.0
15,10963.0,4916.0,2361.0,1869.0,1818.0,1907.0,1837.0,1932.0,1911.0,2187.0,2638.0,2274.0,1720.0,2194.0,2025.0,1725.0,2068.0,1916.0,2022.0,1889.0,2802.0
