cell,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21
2,6854.0,2865.0,3697.0,2454.0,1637.0,1374.0,2157.0,1249.0,1363.0,1351.0,1273.0,1353.0,1398.0,1319.0,1228.0,1235.0,1266.0,1293.0,1247.0,1210.0,1203.0
2,13829.0,5679.0,11996.0,6527.0,5001.0,23131.0,11058.0,17097.0,6533.0,4900.0,4152.0,3200.0,2739.0,3163.0,3161.0,3248.0,3532.0,2909.0,4152.0,4070.0,3524.0000000000005
3,4715.0,4715.0,10794.0,8081.0,6704.0,7549.0,15314.0,7707.0,5836.000000000001,4790.0,4946.0,4740.0,4877.0,4789.0,4585.0,35570.0,24228.0,10503.000000000002,6874.000000000001,4606.0,5042.0
5,30287.0,25800.000000000004,28990.000000000004,20380.0,9215.0,4322.0,4676.0,4793.0,4220.0,4163.0,5487.0,5343.0,4549.0,5695.0,4862.0,4713.0,4475.0,5960.0,4717.0,4267.0,4323.0
5,4446.0,4816.0,4227.0,4760.0,4169.0,2915.0,3244.0,3546.0,3292.0,3997.0000000000005,3212.0,2665.0,3478.0,10905.0,7171.0,5059.0,3184.0,22686.0,12967.0,19938.0,9053.0
6,4659.0,2406.0,2225.0,2037.0,2111.0,1417.0,4426.0,3146.0,2751.0,1672.0,2010.0000000000002,1531.0,5715.0,3594.0,7453.0,3874.0,2941.0,1632.9999999999998,1406.0,1472.0,2093.0
6,10337.0,5670.0,11324.0,9124.0,4548.0,4266.0,3223.0,3489.0,3555.0,16748.0,22323.0,13285.0,4321.0,4145.0,3878.0,3242.0,5991.0,4835.0,6625.0,6288.0,13922.0
7,19815.0,13827.0,11103.0,9287.0,15279.0,9150.0,13525.0,8917.0,3444.0,3492.0,3511.0,3463.0,3264.0,3167.0,3114.0,3201.0,3214.0,3143.0,2800.0,3319.0,3358.0
8,4087.0,3901.0,3947.0,12843.0,11167.0,7130.0,4715.0,15748.0,17464.0,23175.0,18130.0,19435.0,13696.0,22111.0,13435.0,6684.0,4690.0,6956.0,6317.0,5093.0,4671.0
9,1820.0,1014.0,536.0,375.0,421.0,397.0,405.0,372.0,423.0,448.0,412.0,436.0,337.0,466.99999999999994,395.0,445.0,409.0,396.0,412.0,408.0,433.0
10,2647.0,2560.0,2668.0,1877.0,1793.0,1993.0,1749.0,8470.0,5231.0,2463.0,2420.0,2041.0,5183.0,5726.0,4020.0,11142.0,6763.0,4540.0,1972.0,2005.0,1922.0
11,10627.0,18264.0,23126.0,14008.0,9327.0,13705.0,6384.0,5759.0,10415.0,4388.0,4223.0,4027.0,4162.0,3914.0,4145.0,4078.0,3777.0,4068.0,4161.0,4044.0,4040.0
12,5201.0,2973.0,4105.0,2968.0,3151.0,4064.0,2859.0,3051.0,2939.0,9116.0,5783.0,5083.0,14972.0,3223.0,2761.0,19188.0,8522.0,4596.0,16119.0,12178.0,5353.0
12,5039.0,5682.0,3687.0,25098.0,12101.0,6379.0,5534.0,3594.0,3588.0,4067.0000000000005,3792.0,4397.0,3731.0,4355.0,3225.0,4101.0,3668.0,3542.0,3634.0,3426.0,4121.0
13,5574.0,23534.0,16110.0,22790.0,25241.0,10718.0,6243.0,6256.0,29676.0,26475.999999999996,17175.0,29444.999999999996,14206.0,10211.0,8347.0,12003.0,9454.0,6213.0,6572.0,5595.0,5820.0
